USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
abhinavsuri       2631   0.0  0.1 435380480   5040   ??  S    11:37PM   0:01.69 /usr/libexec/replayd
_appinstalld      2629   0.0  0.0 435305424   1616   ??  S    11:37PM   0:00.12 /usr/sbin/distnoted agent
_appinstalld      2628   0.0  0.0 435340624   2880   ??  Ss   11:37PM   4:21.45 /System/Library/PrivateFrameworks/MobileInstallation.framework/Support/appinstalld
_installcoordinationd  2626   0.0  0.0 435305360   1392   ??  S    11:37PM   0:00.06 /usr/sbin/cfprefsd agent
root              2625   0.0  0.0 435300816    416   ??  Ss   11:37PM   0:00.03 /usr/libexec/dirhelper
_installcoordinationd  2624   0.0  0.0 435352528   3024   ??  S    11:37PM   0:00.20 /usr/libexec/pkd
abhinavsuri       2622   0.0  0.0 435310192   3584   ??  S<   11:37PM   0:00.04 /Applications/Antigravity IDE.app/Contents/Frameworks/Squirrel.framework/Resources/ShipIt com.google.antigravity-ide.ShipIt /Users/abhinavsuri/Library/Caches/com.google.antigravity-ide.ShipIt/ShipItState.plist
abhinavsuri       2621   0.0  0.0 435314032   3232   ??  Ss   11:37PM   0:00.12 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
abhinavsuri       2617   0.0  0.7 1955335584  61408   ??  S    11:37PM   0:52.15 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=130 --launch-time-ticks=1079147842 --shared-files --metrics-shmem-handle=1752395122,r,9548329813980872144,4342816661852268002,2097152 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190709108127311864 --seatbelt-client=259
abhinavsuri       2616   0.0  0.0 435306800   2448   ??  S    11:37PM   0:00.08 /usr/libexec/assessmentagent
abhinavsuri       2612   0.0  0.0 435345984   2848   ??  Ss   11:37PM   0:00.17 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
abhinavsuri       2611   0.0  0.0 435342336   3440   ??  S    11:37PM   0:00.15 /usr/libexec/swtransparencyd
abhinavsuri       2603   0.0  0.0 435341504   3168   ??  S    11:37PM   0:00.22 /usr/libexec/frauddefensed
abhinavsuri       2601   0.0  0.6 1951366384  53728   ??  S    11:37PM   0:07.03 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=119 --launch-time-ticks=1066067184 --shared-files --metrics-shmem-handle=1752395122,r,13849742011208781560,7463976784209526582,2097152 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190709097819851525 --seatbelt-client=245
abhinavsuri       2589   0.0  0.2 1949188336  15168   ??  S    11:37PM   0:01.79 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --top-chrome-webui --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=110 --launch-time-ticks=1055558873 --shared-files --metrics-shmem-handle=1752395122,r,13021754403869060751,9493031426795169128,2097152 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190709089386474884 --seatbelt-client=187
abhinavsuri       2577   0.0  0.5 1949174256  42416   ??  S    11:36PM   0:00.83 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=108 --launch-time-ticks=1050408477 --shared-files --metrics-shmem-handle=1752395122,r,9369680555037819753,13430010330970065875,2097152 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190709087512391186 --seatbelt-client=88
abhinavsuri       2570   0.0  0.3 1949188960  25184   ??  S    11:36PM   0:00.57 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=106 --launch-time-ticks=1050262817 --shared-files --metrics-shmem-handle=1752395122,r,7278942546106477123,2599846621075861068,2097152 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190709085638307488 --seatbelt-client=100
abhinavsuri       2569   0.0  0.4 1949176384  34768   ??  S    11:36PM   0:00.60 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=107 --launch-time-ticks=1050259682 --shared-files --metrics-shmem-handle=1752395122,r,15912873319130779504,1374861500207296317,2097152 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190709086575349337 --seatbelt-client=100
abhinavsuri       2568   0.0  0.1 1949179440   7744   ??  S    11:36PM   0:00.47 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --top-chrome-webui --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=105 --launch-time-ticks=1050235305 --shared-files --metrics-shmem-handle=1752395122,r,276148301975507711,3536646522762502420,2097152 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190709084701265639 --seatbelt-client=86
abhinavsuri       2565   0.0  0.0 435349472   3648   ??  S    11:36PM   0:00.34 /System/Library/PrivateFrameworks/CoreParsec.framework/parsec-fbf
abhinavsuri       2564   0.0  0.0 411368000   3296   ??  Ss   11:36PM   0:00.06 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTEncoderXPCService.xpc/Contents/MacOS/VTEncoderXPCService
abhinavsuri       2563   0.0  0.0 435370656   2656   ??  Ss   11:36PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
abhinavsuri       2543   0.0  0.0 436306448   2992   ??  S    11:36PM   0:00.66 chrome-devtools-mcp    
abhinavsuri       2524   0.0  0.0 436282688   3008   ??  S    11:36PM   0:01.04 npm exec chrome-devtools-mcp@latest --autoConnect --no-usage-statistics --no-performance-crux      
abhinavsuri       2520   0.0  0.1 435370624   5040   ??  Ss   11:36PM   0:00.13 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
abhinavsuri       2515   0.0  0.0 435305504   2064   ??  S    11:36PM   0:00.04 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
abhinavsuri       2472   0.0  2.0 438036448 169760   ??  S    11:36PM   0:14.97 /Applications/Antigravity IDE.app/Contents/Resources/app/extensions/antigravity/bin/language_server_macos_arm --csrf_token 13fff367-9d08-4937-af92-9e5956ebcab0 --extension_server_port 50625 --extension_server_csrf_token fab402ba-ada5-4932-9161-bbb9999256b7 --app_data_dir antigravity-ide --subclient_type ide --cloud_code_endpoint https://cloudcode-pa.googleapis.com
abhinavsuri       2461   0.0  0.1 435421280   9632   ??  Ss   11:36PM   0:00.45 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
abhinavsuri       2458   0.0  0.2 469226688  14384   ??  S    11:36PM   0:00.27 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-GB --service-sandbox-type=none --message-loop-type-ui --user-data-dir=/Users/abhinavsuri/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8980756497384775943,5097072793149543955,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708991934122588
abhinavsuri       2440   0.0  0.0 468922016   2608   ??  S    11:36PM   0:00.02 /Applications/Antigravity IDE.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/abhinavsuri/Library/Application Support/Antigravity IDE/Crashpad --annotation=_companyName=Google --annotation=_productName=Antigravity IDE --annotation=_version=1.107.0 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=39.2.3 --handshake-fd=21
abhinavsuri       2437   0.0  0.0 435342688   3056   ??  S    11:36PM   0:00.18 /System/Library/PrivateFrameworks/IntelligencePlatformCore.framework/Versions/A/intelligenceplatformd
abhinavsuri       2436   0.0  0.0 436239680   3488   ??  S    11:36PM   0:00.31 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/managedcorespotlightd
abhinavsuri       2435   0.0  0.0 435340896   3472   ??  S    11:36PM   0:00.15 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
abhinavsuri       2431   0.0  0.0 435301472   1296   ??  Ss   11:35PM   0:00.01 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/SpeechSynthesis.framework/Versions/A/XPCServices/SpeechSynthesisServerXPC.xpc/Contents/MacOS/SpeechSynthesisServerXPC
_netbios          2382   0.0  0.0 435339824   3088   ??  SNs  11:34PM   0:00.88 /usr/sbin/netbiosd
abhinavsuri       2376   0.0  0.0 435310224   2880   ??  Ss   11:34PM   0:00.94 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
abhinavsuri       2368   0.0  0.0 435341328   2336   ??  S    11:33PM   0:00.23 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
root              2360   0.0  0.0 435339184   2048   ??  S    11:32PM   0:00.07 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
root              2356   0.0  0.0 435343728   3648   ??  S    11:32PM   0:00.72 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
abhinavsuri       2357   0.0  0.1 435519904   4528   ??  S    11:32PM   0:00.44 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
abhinavsuri       2352   0.0  0.0 435345360   2208   ??  Ss   11:31PM   0:02.34 /System/Library/PrivateFrameworks/StreamingZip.framework/Versions/A/XPCServices/com.apple.StreamingUnzipService.xpc/Contents/MacOS/com.apple.StreamingUnzipService
abhinavsuri       2351   0.0  0.1 435516960   4208   ??  S    11:31PM   0:00.45 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
abhinavsuri       2349   0.0  0.0 435306256   2272   ??  S    11:31PM   0:00.09 /usr/libexec/keychainsharingmessagingd
abhinavsuri       2348   0.0  0.0 435590912   3728   ??  S    11:31PM   0:00.45 /System/Cryptexes/App/usr/libexec/AuthenticationServicesAgent
abhinavsuri       2344   0.0  0.0 435346416   3312   ??  S    11:31PM   0:00.33 /usr/libexec/milod
abhinavsuri       2340   0.0  0.0 435340432   3808   ??  S    11:31PM   0:06.36 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistant_service
abhinavsuri       2339   0.0  0.1 435344064   4240   ??  S    11:31PM   0:00.67 /System/Library/PrivateFrameworks/WeatherDaemon.framework/weatherd
abhinavsuri       2325   0.0  0.0 435342672   3760   ??  S    11:30PM   0:00.87 /usr/libexec/tipsd
abhinavsuri       2314   0.0  0.0 435341360   2864   ??  S    11:30PM   0:00.22 /usr/libexec/diagnosticextensionsd
_rmd              2293   0.0  0.0 435305632   1472   ??  S    11:30PM   0:00.14 /usr/sbin/distnoted agent
abhinavsuri       2284   0.0  0.1 435353376   4224   ??  Ss   11:30PM   0:00.25 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Nb2JpbGVTTVMuTWVzc2FnZXNBY3Rpb25FeHRlbnNpb24iLCJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
abhinavsuri       2283   0.0  0.0 435353872   2960   ??  Ss   11:30PM   0:00.21 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5jYWxlbmRhci5DYWxlbmRhckludGVudHNFeHRlbnNpb24iLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
abhinavsuri       2275   0.0  0.1 435347792   4240   ??  S    11:30PM   0:03.46 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributionagent
abhinavsuri       2268   0.0  0.0 435342304   2896   ??  S    11:30PM   0:00.22 /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd
root              2266   0.0  0.1 435348160   4272   ??  Ss   11:30PM   0:03.41 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributiond
abhinavsuri       2257   0.0  0.0 435343504   3504   ??  S    11:29PM   0:00.54 /usr/libexec/adprivacyd
abhinavsuri       2256   0.0  0.0 435341280   3808   ??  S    11:29PM   0:00.32 /System/Library/PrivateFrameworks/JetCore.framework/Support/jetpackassetd
_nsurlsessiond    2108   0.0  0.0 435305312   1440   ??  S    11:23PM   0:00.19 /usr/sbin/distnoted agent
abhinavsuri       2088   0.0  0.1 435515616   4448   ??  S    11:22PM   0:00.61 /System/Library/PrivateFrameworks/WorkflowKit.framework/XPCServices/ShortcutsViewService.xpc/Contents/MacOS/ShortcutsViewService
abhinavsuri       2081   0.0  0.1 435362400   4368   ??  S    11:22PM   0:00.26 /Users/abhinavsuri/Library/Caches/company.thebrowser.Browser/org.sparkle-project.Sparkle/Launcher/xgZJfmPGF/Updater.app/Contents/MacOS/Updater /Applications/Arc.app 0
abhinavsuri       2080   0.0  0.0 435353120   2512   ??  S    11:22PM   0:07.13 /Applications/Arc.app/Contents/Frameworks/Sparkle.framework/Versions/B/Autoupdate company.thebrowser.Browser /Users/abhinavsuri abhinavsuri
abhinavsuri       2076   0.0  0.0 435514848   3872   ??  S    11:22PM   0:00.76 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
abhinavsuri       2040   0.0  0.1 435843696   6976   ??  S    11:21PM   0:02.18 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
abhinavsuri       2036   0.0  0.0 435310480   2288   ??  S<   11:21PM   0:00.08 /Applications/Visual Studio Code.app/Contents/Frameworks/Squirrel.framework/Resources/ShipIt com.microsoft.VSCode.ShipIt /Users/abhinavsuri/Library/Caches/com.microsoft.VSCode.ShipIt/ShipItState.plist
abhinavsuri       2021   0.0  0.0 435340336   2672   ??  S    11:21PM   0:01.77 /System/Library/PrivateFrameworks/AOSKit.framework/Versions/A/XPCServices/com.apple.iCloudHelper.xpc/Contents/MacOS/com.apple.iCloudHelper
abhinavsuri       1999   0.0  0.1 435348752   5072   ??  S    11:20PM   0:00.87 /System/Library/PrivateFrameworks/People.framework/peopled
abhinavsuri       2000   0.0  0.1 435353920   6480   ??  S    11:20PM   0:00.61 /usr/libexec/proactived
_modelmanagerd    1983   0.0  0.0 435430336   2352   ??  Ss   11:20PM   0:01.19 /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/Contents/MacOS/TGOnDeviceInferenceProviderService -LaunchArguments eyJ0eXBlIjo4LCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS50Z29uZGV2aWNlaW5mZXJlbmNlcHJvdmlkZXJzZXJ2aWNlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
abhinavsuri       1949   0.0  0.0 435355168   2896   ??  Ss   11:20PM   0:00.13 /System/Library/ExtensionKit/Extensions/IFTranscriptSELFIngestor.appex/Contents/MacOS/IFTranscriptSELFIngestor -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUubGlnaHRob3VzZS5JRlRyYW5zY3JpcHRTRUxGSW5nZXN0b3IifQ==
abhinavsuri       1945   0.0  0.0 435348480   2416   ??  S    11:20PM   0:00.18 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
abhinavsuri       1941   0.0  0.0 435356320   3584   ??  Ss   11:20PM   0:00.56 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5TY3JlZW5UaW1lV2lkZ2V0QXBwbGljYXRpb24uU2NyZWVuVGltZVdpZGdldEV4dGVuc2lvbiIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
abhinavsuri       1938   0.0  0.0 435357568   3136   ??  Ss   11:20PM   0:00.26 /System/Applications/Mail.app/Contents/PlugIns/com.apple.mail.SpotlightIndexExtension.appex/Contents/MacOS/com.apple.mail.SpotlightIndexExtension -AppleLanguages ("en-IN")
abhinavsuri       1933   0.0  0.0 435339840   3280   ??  S    11:20PM   0:00.27 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
abhinavsuri       1932   0.0  0.0 435358480   3568   ??  S    11:20PM   0:00.38 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
abhinavsuri       1930   0.0  0.0 435354880   2864   ??  Ss   11:20PM   0:00.16 /System/Library/ExtensionKit/Extensions/IFTelemetrySELFIngestor.appex/Contents/MacOS/IFTelemetrySELFIngestor -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUubGlnaHRob3VzZS5JRlRlbGVtZXRyeVNFTEZJbmdlc3RvciJ9
abhinavsuri       1929   0.0  0.0 435305984   2560   ??  S    11:20PM   0:03.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker
abhinavsuri       1921   0.0  0.0 435354352   2880   ??  Ss   11:20PM   0:00.19 /System/Library/ExtensionKit/Extensions/BiomeSELFIngestor.appex/Contents/MacOS/BiomeSELFIngestor -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUubGlnaHRob3VzZS5CaW9tZVNFTEZJbmdlc3RvciJ9
abhinavsuri       1918   0.0  0.0 507190144    144   ??  Ss   11:20PM   0:00.52 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.EnhancedSecurity.xpc/Contents/MacOS/com.apple.WebKit.WebContent.EnhancedSecurity
abhinavsuri       1902   0.0  0.0 435354720   2944   ??  Ss   11:20PM   0:00.21 /System/Library/ExtensionKit/Extensions/GMSSELFIngestor.appex/Contents/MacOS/GMSSELFIngestor -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5zaXJpLkdNU1NFTEZJbmdlc3RvciIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
root              1901   0.0  0.0 485741328   2400   ??  Ss   11:20PM   0:00.09 /Library/PrivilegedHelperTools/ChromeRemoteDesktopHost.app/Contents/MacOS/remoting_agent_process_broker
abhinavsuri       1898   0.0  0.1 485851408  12448   ??  S    11:20PM   0:01.56 /Library/PrivilegedHelperTools/ChromeRemoteDesktopHost.app/Contents/MacOS/remoting_me2me_host --host-config=/Library/PrivilegedHelperTools/org.chromium.chromoting.json --ssh-auth-sockname=/tmp/chromoting.abhinavsuri.ssh_auth_sock
abhinavsuri       1840   0.0  0.0 435340640   2656   ??  Ss   11:19PM   0:00.63 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
_modelmanagerd    1839   0.0  0.0 435341280   2816   ??  Ss   11:19PM   0:00.41 /System/Library/ExtensionKit/Extensions/GenerativeExperiencesSafetyInferenceProvider.appex/Contents/MacOS/GenerativeExperiencesSafetyInferenceProvider -LaunchArguments eyJ0eXBlIjo4LCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5HZW5lcmF0aXZlRnVuY3Rpb25zLkdlbmVyYXRpdmVFeHBlcmllbmNlc1NhZmV0eUluZmVyZW5jZVByb3ZpZGVyIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
abhinavsuri       1830   0.0  0.1 435344144   9600   ??  Ss   11:19PM   0:01.81 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
_modelmanagerd    1826   0.0  0.0 435305536   1424   ??  S    11:19PM   0:00.20 /usr/sbin/distnoted agent
_modelmanagerd    1825   0.0  0.0 435511680   2512   ??  Ss   11:19PM   0:03.40 /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/Contents/MacOS/TGOnDeviceInferenceProviderService -LaunchArguments eyJ0eXBlIjo4LCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS50Z29uZGV2aWNlaW5mZXJlbmNlcHJvdmlkZXJzZXJ2aWNlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
abhinavsuri       1823   0.0  0.0 435405936   3264   ??  S    11:19PM   0:00.78 /usr/libexec/naturallanguaged
root              1819   0.0  0.0 435345568   2736   ??  Ss   11:19PM   0:00.70 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
root              1820   0.0  0.0 435304400   1696   ??  Ss   11:19PM   0:00.03 /System/Library/CoreServices/CrashReporterSupportHelper server-init
abhinavsuri       1818   0.0  0.0 435352112   2960   ??  Ss   11:19PM   0:00.37 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
abhinavsuri       1789   0.0  0.0 435371792   3552   ??  S    11:19PM   0:00.29 /usr/libexec/GamePolicyAgent
abhinavsuri       1782   0.0  0.0 435365600   2864   ??  Ss   11:19PM   0:00.48 /System/Library/PrivateFrameworks/SiriAnalytics.framework/Versions/A/XPCServices/SAExtensionOrchestrator.xpc/Contents/MacOS/SAExtensionOrchestrator
